Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
89,UUP,HB,Currency,US Dollar Index Bullish,0.03890972019492711,0.07860355177984446,0.05922744007122449,0.029369108049311254,0.0031802120141342094,0.018292682926829285,0.00035236081747713754,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
90,VOT,HB,Broad Equity & Factors,Mid Growth,0.20578578686972215,0.01253613751794469,0.05903138119798168,0.105893657770465,-0.04423568918961274,-0.04390355612261598,0.002297825639618667,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
91,USDU,HB,Currency,Bloomberg Dollar Bullish,0.025355240612546792,0.05637899019581383,0.042458333321998554,0.01957773512475991,-0.0018789928598271777,0.01335368180083929,-0.0007524454477050302,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
92,HYG,,Financials & Credit,High Yield Corporate Bonds,0.08676847763672901,0.02788308927642369,0.03764155351659926,0.01594262060812368,-0.003730541683256039,-0.009404465546993257,-0.002413617886178887,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
93,SHY,,Rates & Duration,1-3 Year Treasury,0.04209580846907279,0.01506156431800365,0.022252122958865472,0.002589922685819035,-0.00023697697431290798,-0.007034036398035459,-0.001474926253687392,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
94,XRT,HB,Consumer,Retail,0.22049212239910987,-0.05670675204760123,0.02148895788871852,0.03165432350355446,-0.048419975693494544,-0.07655071484858711,-0.00953875875392407,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
95,TIP,HB,Inflation & Real Assets,TIPS,0.02839664129178754,-0.015498911306922714,0.005449910187068863,-0.02016032021124803,-0.02113816105868771,-0.020835271137568667,-0.004162330905306932,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
96,IWP,,Broad Equity & Factors,Russell Midcap Growth,0.1638492090317516,-0.041199582586993744,0.004595099728494034,0.04752501963977207,-0.033213744782477295,-0.04558521371233493,0.0013148283418553675,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
97,VCR,HB,Consumer,Consumer Discretionary,0.17585396400412878,-0.06474982831375431,0.0037922721276026916,0.03385140506535844,-0.054987708175585404,-0.06828315214668612,-0.0047094081130258925,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
98,IEF,,Rates & Duration,7-10 Year Treasury,0.01666358169378479,-0.026760797663091362,-0.0026901651002279037,-0.03216853936346609,-0.027758009782778093,-0.024135561207297762,-0.004931506849315093,BROAD_WEAKNESS,Long and 1m momentum negative; 1d down.
99,FXE,,Currency,Euro Currency,0.061295162481561416,-0.021245040928316805,-0.005485711742754029,-0.00423708120091959,0.00430512785146675,-0.01584625718467947,0.0007553583231045824,BROAD_WEAKNESS,Long and 1m momentum negative; 1d up.
100,LQD,,Financials & Credit,Investment Grade Corporate Bonds,0.03421107778280663,-0.021838008762654515,-0.0085296172531093,-0.01801244920442102,-0.028460359662170864,-0.013422883568820376,-0.004374286801064997,BROAD_WEAKNESS,Long and 1m momentum negative; 1d down.
101,TLT,,Rates & Duration,20+ Year Treasury,-0.042116793419499254,-0.05711759286569429,-0.04025490753807759,-0.04959152407517242,-0.052537901464333236,-0.01756996254532628,-0.006480802152115439,BROAD_WEAKNESS,Long and 1m momentum negative; 1d down.
102,INDA,HB,International,India Equity,-0.037289494787489996,-0.1110699740836727,-0.08293224731580906,0.010521885521885599,-0.03146430012101642,-0.030682276947920806,0.00020828993959609576,BROAD_WEAKNESS,Long and 1m momentum negative; 1d up.
103,IPAY,HB,Growth & Technology,Digital Payments,-0.096408300120294,-0.18699547260392035,-0.130546242490723,0.12056074766355152,0.08018018018018025,-0.06492493663482157,-0.006422208411021368,BROAD_WEAKNESS,Long and 1m momentum negative; 1d down.
